City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,manaure,11.7751,-72.4445,31.38,59,79,7.3,CO,1719760112
313,florence,43.7667,11.25,29.47,52,20,4.63,IT,1719759963
314,mitu,1.1983,-70.1733,29.73,63,46,1.03,CO,1719760115
315,harindanga,22.0383,88.3214,29.77,80,100,7.2,IN,1719760116
316,tazovsky,67.4667,78.7,10.62,64,100,3.87,RU,1719760118
317,sittwe,20.15,92.9,28.29,85,100,7.46,MM,1719759958
318,torrington,41.8007,-73.1212,29.68,82,100,0.45,US,1719760123
319,sylvan lake,52.3168,-114.0853,14.64,77,100,5.02,CA,1719760124
320,sinop,41.7711,34.8709,21.65,54,0,4.32,TR,1719760008
321,dolinsk,47.35,142.8,9.26,97,100,3.69,RU,1719760127
322,maceio,-9.6658,-35.7353,25.69,88,75,3.09,BR,1719760128
323,peniche,39.3558,-9.3811,21.07,86,15,4.33,PT,1719760130
324,cukai,4.25,103.4167,25.35,89,90,3.18,MY,1719760131
325,lisburn,54.5234,-6.0353,15.01,73,100,3.09,GB,1719760133
326,sake,-1.5736,29.045,20.7,71,90,0.32,CD,1719760134
327,novyy turtkul',41.55,61.0167,26.95,24,0,6.13,UZ,1719759971
328,yorkton,51.2167,-102.4677,13.77,67,0,3.44,CA,1719760025
329,magadan,59.5667,150.8,7.65,99,100,3.99,RU,1719760121
330,kelibia,36.8476,11.0939,27.29,61,3,4.58,TN,1719760029
331,kerikeri,-35.2268,173.9474,11.19,89,100,2.17,NZ,1719759925
332,aasiaat,68.7098,-52.8699,2.35,94,100,2.52,GL,1719760145
333,nema,57.5067,50.5011,22.62,56,14,3.22,RU,1719760147
334,male,4.1748,73.5089,28.54,77,45,3.9,MV,1719759773
335,broken hill,-31.95,141.4333,5.29,69,7,4.07,AU,1719759878
336,egilsstadir,65.2653,-14.3948,21.84,38,36,3.36,IS,1719760151
337,yallahs,17.8748,-76.5624,33.19,67,22,4.71,JM,1719760152
338,calama,-22.4667,-68.9333,17.27,8,0,8.23,CL,1719760154
339,shakawe,-18.3667,21.85,26.11,21,1,1.44,BW,1719760155
340,tralee,52.2704,-9.7026,14.14,82,75,3.09,IE,1719760156
341,santa cruz,-17.8,-63.1667,16.03,31,100,8.23,BO,1719760158
342,emerald,-23.5333,148.1667,16.3,91,57,3.81,AU,1719760159
343,codrington,-38.2667,141.9667,9.3,70,99,4.97,AU,1719760161
344,jiangzi,28.95,89.6333,12.77,53,54,1.95,CN,1719760162
345,guanare,9.0418,-69.7421,27.01,86,80,2.07,VE,1719759995
346,kone,-21.0595,164.8658,18.45,75,8,2.25,NC,1719760165
347,oyama,36.3,139.8,28.1,87,100,2.22,JP,1719760166
348,lethem,3.3803,-59.7968,30.19,67,8,0.66,GY,1719760168
349,porto novo,6.4965,2.6036,25.75,87,100,2.72,BJ,1719760170
350,smithers,54.7804,-127.1743,14.68,78,97,0.46,CA,1719760171
351,kinablangan,7.6947,126.5503,26.21,86,100,2.85,PH,1719760172
352,villa regina,-39.1,-67.0667,10.91,28,100,5.9,AR,1719760174
353,freetown,8.484,-13.2299,27.17,80,96,4.05,SL,1719760075
354,san patricio,28.017,-97.5169,32.14,61,18,6.1,US,1719760177
355,praia da vitoria,38.7333,-27.0667,20.67,81,94,5.74,PT,1719760179
356,ostersund,63.1792,14.6357,20.34,51,97,0.45,SE,1719760180
357,mariehamn,60.0973,19.9348,14.92,94,20,1.03,AX,1719760182
358,montero,-17.3333,-63.25,16.5,26,100,4.65,BO,1719760183
359,goz beida,13.95,20.55,34.25,35,100,4.16,TD,1719760184
360,kissidougou,9.1848,-10.0999,25.21,89,99,0.53,GN,1719760186
361,yarmouth,41.7057,-70.2286,22.86,97,100,6.17,US,1719760109
362,zeya,53.75,127.2667,14.33,52,17,0.94,RU,1719760189
363,taro,-8.3862,115.28,23.0,94,99,1.58,ID,1719760190
364,palmer,42.1584,-72.3287,30.13,67,40,5.14,US,1719760192
365,pyapon,16.2833,95.6833,26.26,86,100,3.1,MM,1719760188
